location,latitude,longitude,road_section_type,vehicles_12h,traffic_weight,survey_period,data_year,data_source,source_url,data_status
Telephone Exchange to C.A Road,21.1487,79.12154,Midblock,50557,0.417,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
"Maruti Seva Square, Kamptee Road",21.18391,79.11693,Intersection,85755,0.723,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Prakash High School,21.14944,79.16056,Midblock,45748,0.375,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Juni Pardi Naka Chowk,21.15139,79.14889,Intersection,117673,1.0,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Chhatrapati Square,21.11083,79.07011,Intersection,80318,0.675,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Dongargaon,20.98047,79.02711,Midblock,35333,0.285,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Rajiv Nagar intersection,21.10365,78.99068,Intersection,49425,0.407,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Wadhamna,21.14072,78.95026,Intersection,26628,0.209,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Wadi T Point (Dhamna),21.15287,79.00227,Intersection,81432,0.685,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Khandghav Turning,21.15621,79.00116,Intersection,14077,0.1,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
NEERI Point,21.11933,79.0684,Intersection,26777,0.21,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Ravi Nagar,21.14744,79.0562,Intersection,65873,0.55,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Jinga Bai Takli to Zhanda Chowk,21.18761,79.07888,Intersection,59495,0.495,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Auto HUB to Toll Naka,21.15352,79.00419,Intersection,81432,0.685,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Gorewada to Toll Naka,21.18361,79.03417,Intersection,40661,0.331,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Mayo Square,21.15317,79.09403,Intersection,75602,0.635,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Mhalgi Nagar Square,21.10766,79.11961,Intersection,84096,0.708,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Chinchbhavan Square,21.0675,79.05833,Intersection,43407,0.355,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
Kharbi Chowk,21.12425,79.13848,Intersection,84568,0.712,"12-hour typical working day, 08:00-20:00",2024,Project iRASTE Nagpur Detailed Report 2024,https://www.inai.ai/img/docs/iraste-nagpur/iRASATE-Detailed-Report.pdf,verified_survey
